id,predicted
1,3
2,3
3,1
4,3
5,3
6,3
7,1
8,3
9,3
10,3
11,3
12,3
13,2
14,3
15,3
16,3
17,2
18,0
19,0
20,0
21,1
22,2
23,0
24,0
25,3
26,2
27,1
28,0
29,7
30,1
31,0
32,3
33,3
34,1
35,3
36,3
37,3
38,1
39,1
40,1
41,3
42,3
43,3
44,1
45,3
46,3
47,3
48,3
49,5
50,3
51,3
52,3
53,1
54,1
55,1
56,0
57,1
58,0
59,0
60,0
61,3
62,3
63,5
64,1
65,3
66,3
67,3
68,0
69,0
70,3
71,3
72,3
73,3
74,0
75,3
76,0
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,1
85,3
86,0
87,1
88,0
89,0
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,1
100,3
101,3
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,3
110,1
111,3
112,1
113,1
114,1
115,0
116,3
117,1
118,1
119,1
120,1
121,1
122,1
123,3
124,3
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,3
133,0
134,3
135,3
136,3
137,1
138,0
139,0
140,1
141,1
142,3
143,1
144,0
145,0
146,1
147,3
148,1
149,0
150,0
151,3
152,1
153,3
154,1
155,3
156,3
157,3
158,3
159,3
160,3
161,0
162,0
163,3
164,3
165,1
166,0
167,0
168,1
169,3
170,1
171,3
172,1
173,7
174,3
175,1
176,6
177,7
178,6
179,7
180,1
181,0
182,3
183,3
184,1
185,3
186,3
187,1
188,3
189,3
190,3
191,1
192,0
193,3
194,1
195,0
196,1
197,1
198,3
199,1
200,3
